index	english	greek	isopsephy
301	certain	κερταιν	486
302	chair	κηαιρ	139
303	chalk	κηαλκ	79
304	champion	κηαμπιον	279
305	change	κηανγκε	107
306	chaos	κηαος	299
307	chapter	κηαπτερ	514
308	charge	κηαργκε	157
309	chase	κηασε	234
310	chat	κηατ	329
311	cheap	κηεαπ	114
312	check	κηεκκ	73
313	cheese	κηεεσε	243
314	chef	κηεφ	533
315	cherry	κηερρυ	633
316	chest	κηεστ	533
317	chicken	κηικκεν	133
318	chief	κηιεφ	543
319	child	κηιλντ	418
320	chimney	κηιμνευ	533
321	choice	κηοικε	133
322	choose	κηοοσε	373
323	chronic	κηρονικ	278
324	chuckle	κηυκκλε	503
325	chunk	κηυνκ	498
326	churn	κηυρν	578
327	cigar	κιγκαρ	154
328	cinnamon	κινναμον	291
329	circle	κιρκλε	185
330	citizen	κιτιζεν	402
331	city	κιτυ	730
332	civil	κιβιλ	72
333	claim	κλαιμ	101
334	clap	κλαπ	131
335	clarify	κλαριφυ	1061
336	claw	κλαυ	451
337	clay	κλαυ	451
338	clean	κλεαν	106
339	clerk	κλερκ	175
340	clever	κλεβερ	162
341	click	κλικκ	100
342	client	κλιεντ	415
343	cliff	κλιφφ	1060
344	climb	κλιμμπ	220
345	clinic	κλινικ	140
346	clip	κλιπ	140
347	clock	κλοκκ	160
348	clog	κλογκ	143
349	close	κλοσε	325
350	cloth	κλοτη	428
351	cloud	κλουντ	870
352	clown	κλουν	570
353	club	κλυμπ	570
354	clump	κλυμπ	570
355	cluster	κλυστερ	1055
356	clutch	κλυτκη	778
357	coach	κοακη	119
358	coast	κοαστ	591
359	coconut	κοκονυτ	930
360	code	κοντε	445
361	coffee	κοφφεε	1100
362	coil	κοιλ	130
363	coin	κοιν	150
364	collect	κολλεκτ	475
365	color	κολορ	290
366	column	κολυμν	610
367	combine	κομμπινε	315
368	come	κομε	135
369	comfort	κομφορτ	1100
370	comic	κομικ	160
371	common	κομμον	290
372	company	κομπανυ	661
373	concert	κονκερτ	565
374	conduct	κονντυκτ	1210
375	confirm	κονφιρμ	790
376	congress	κονγκρεσς	668
377	connect	κοννεκτ	515
378	consider	κονσιντερ	805
379	control	κοντρολ	640
380	convince	κονβινκε	227
381	cook	κοοκ	180
382	cool	κοολ	190
383	copper	κοππερ	355
384	copy	κοπυ	570
385	coral	κοραλ	221
386	core	κορε	195
387	corn	κορν	240
388	correct	κορρεκτ	615
389	cost	κοστ	590
390	cotton	κοττον	810
391	couch	κουκη	518
392	country	κουντρυ	1340
393	couple	κουπλε	605
394	course	κουρσε	795
395	cousin	κουσιν	750
396	cover	κοβερ	197
397	coyote	κουοτε	865
398	crack	κρακκ	161
399	cradle	κραντλε	506
400	craft	κραφτ	921
401	cram	κραμ	161
402	crane	κρανε	176
403	crash	κραση	329
404	crater	κρατερ	526
405	crawl	κραυλ	551
406	crazy	κραζυ	528
407	cream	κρεαμ	166
408	credit	κρεντιτ	785
409	creek	κρεεκ	150
410	crew	κρευ	525
411	cricket	κρικκετ	475
412	crime	κριμε	175
413	crisp	κρισπ	410
414	critic	κριτικ	460
415	crop	κροπ	270
416	cross	κροσς	590
417	crouch	κρουκη	618
418	crowd	κρουντ	940
419	crucial	κρυκιαλ	581
420	cruel	κρυελ	555
421	cruise	κρυισε	735
422	crumble	κρυμμπλε	715
423	crunch	κρυνκη	598
424	crush	κρυση	728
425	cry	κρυ	520
426	crystal	κρυσταλ	1051
427	cube	κυμπε	545
428	culture	κυλτυρε	1255
429	cup	κυπ	500
430	cupboard	κυπμποαρντ	1141
431	curious	κυριους	1200
432	current	κυρρεντ	975
433	curtain	κυρταιν	881
434	curve	κυρβε	527
435	cushion	κυσηιον	758
436	custom	κυστομ	1030
437	cute	κυτε	725
438	cycle	κυκλε	475
439	dad	νταντ	701
440	damage	νταμαγκε	420
441	damp	νταμπ	471
442	dance	ντανκε	426
443	danger	ντανγκερ	529
444	daring	νταρινγκ	534
445	dash	νταση	559
446	daughter	νταυγκητερ	1187
447	dawn	νταυν	801
448	day	νταυ	751
449	deal	ντεαλ	386
450	debate	ντεμπατε	781
451	debris	ντεμπρις	785
452	decade	ντεκαντε	731
453	december	ντεκεμμπερ	645
454	decide	ντεκιντε	740
455	decline	ντεκλινε	470
456	decorate	ντεκορατε	851
457	decrease	ντεκρεασε	686
458	deer	ντεερ	460
459	defense	ντεφενσε	1115
460	define	ντεφινε	920
461	defy	ντεφυ	1255
462	degree	ντεγκρεε	488
463	delay	ντελαυ	786
464	deliver	ντελιβερ	502
465	demand	ντεμανντ	796
466	demise	ντεμισε	610
467	denial	ντενιαλ	446
468	dentist	ντεντιστ	1215
469	deny	ντενυ	805
470	depart	ντεπαρτ	836
471	depend	ντεπενντ	840
472	deposit	ντεποσιτ	1015
473	depth	ντεπτη	743
474	deputy	ντεπυτυ	1535
475	derive	ντεριβε	472
476	describe	ντεσκριμπε	810
477	desert	ντεσερτ	960
478	design	ντεσιγκν	638
479	desk	ντεσκ	575
480	despair	ντεσπαιρ	746
481	destroy	ντεστρου	1425
482	detail	ντεταιλ	696
483	detect	ντετεκτ	980
484	develop	ντεβελοπ	542
485	device	ντεβικε	392
486	devote	ντεβοτε	732
487	diagram	ντιαγκραμ	525
488	dial	ντιαλ	391
489	diamond	ντιαμονντ	871
490	diary	ντιαρυ	861
491	dice	ντικε	385
492	diesel	ντιεσελ	600
493	diet	ντιετ	665
494	differ	ντιφφερ	1465
495	digital	ντιγκιταλ	724
496	dignity	ντιγκνιτυ	1143
497	dilemma	ντιλεμμα	476
498	dinner	ντιννερ	565
499	dinosaur	ντινοσαυρ	1181
500	direct	ντιρεκτ	785
501	dirt	ντιρτ	760
502	disagree	ντισαγκρεε	694
503	discover	ντισκοβερ	757
504	disease	ντισεασε	771
505	dish	ντιση	568
506	dismiss	ντισμισς	1010
507	disorder	ντισορντερ	1185
508	display	ντισπλαυ	1071
509	distance	ντιστανκε	936
510	divert	ντιβερτ	767
511	divide	ντιβιντε	727
512	divorce	ντιβορκε	557
513	dizzy	ντιζζυ	774
514	doctor	ντοκτορ	910
515	document	ντοκυμεντ	1235
516	dog	ντογκ	443
517	doll	ντολλ	480
518	dolphin	ντολπηιν	598
519	domain	ντομαιν	521
520	donate	ντονατε	776
521	donkey	ντονκευ	895
522	donor	ντονορ	640
523	door	ντοορ	590
524	dose	ντοσε	625
525	double	ντουμπλε	975
526	dove	ντοβε	427
527	draft	ντραφτ	1251
528	dragon	ντραγκον	594
529	drama	ντραμα	492
530	drastic	ντραστικ	981
531	draw	ντραυ	851
532	dream	ντρεαμ	496
533	dress	ντρεσς	855
534	drift	ντριφτ	1260
535	drill	ντριλλ	520
536	drink	ντρινκ	530
537	drip	ντριπ	540
538	drive	ντριβε	467
539	drop	ντροπ	600
540	drum	ντρυμ	890
541	dry	ντρυ	850
542	duck	ντυκκ	790
543	dumb	ντυμμπ	910
544	dune	ντυνε	805
545	during	ντυρινγκ	933
546	dust	ντυστ	1250
547	dutch	ντυτκη	1078
548	duty	ντυτυ	1450
549	dwarf	ντυαρφ	1351
550	dynamic	ντυναμικ	871
551	eager	εαγκερ	134
552	eagle	εαγκλε	64
553	early	εαρλυ	536
554	earn	εαρν	156
555	earth	εαρτη	414
556	easily	εασιλυ	646
557	east	εαστ	506
558	easy	εασυ	606
559	echo	εκηο	103
560	ecology	εκολογκυ	618
561	economy	εκονομυ	655
562	edge	εντγκε	383
563	edit	εντιτ	665
564	educate	εντυκατε	1081
565	effort	εφφορτ	1475
566	egg	εγκγκ	51
567	eight	ειγκητ	346
568	either	ειτηερ	428
569	elbow	ελμπου	625
570	elder	ελντερ	490
571	electric	ελεκτρικ	490
572	elegant	ελεγκαντ	414
573	element	ελεμεντ	435
574	elephant	ελεπηαντ	479
575	elevator	ελεβατορ	513
576	elite	ελιτε	350
577	else	ελσε	240
578	embark	εμμπαρκ	286
579	embody	εμμποντυ	985
580	embrace	εμμπρακε	291
581	emerge	εμεργκε	178
582	emotion	εμοτιον	545
583	employ	εμπλου	625
584	empower	εμπουερ	700
585	empty	εμπτυ	825
586	enable	εναμπλε	211
587	enact	ενακτ	376
588	end	ενντ	405
589	endless	ενντλεσς	840
590	endorse	ενντορσε	780
591	enemy	ενεμυ	500
592	energy	ενεργκυ	583
593	enforce	ενφορκε	750
594	engage	ενγκαγκε	107
595	engine	ενγκινε	143
596	enhance	ενηανκε	139
597	enjoy	εντζου	832
598	enlist	ενλιστ	595
599	enough	ενουγκη	556
600	enrich	ενρικη	193
601	enroll	ενρολλ	285
602	ensure	ενσυρε	760
603	enter	εντερ	460
604	entire	εντιρε	470
605	entry	εντρυ	855
606	envelope	ενβελοπε	247
607	episode	επισοντε	720
608	equal	εκυαλ	456
609	equip	εκυιπ	515
610	era	ερα	106
611	erase	ερασε	311
612	erode	εροντε	530
613	erosion	εροσιον	505
614	error	ερρορ	375
615	erupt	ερυπτ	885
616	escape	εσκαπε	311
617	essay	εσσαυ	806
618	essence	εσσενκε	485
619	estate	εστατε	811
620	eternal	ετερναλ	491
621	ethics	ετηικς	543
622	evidence	εβιντενκε	447
623	evil	εβιλ	47
624	evoke	εβοκε	102
625	evolve	εβολβε	114
626	exact	εξακτ	386
627	example	εξαμπλε	221
628	excess	εξκεσς	490
629	exchange	εξκηανγκε	172
630	excite	εξκιτε	400
631	exclude	εξκλυντε	870
632	excuse	εξκυσε	690
633	execute	εξεκυτε	795
634	exercise	εξερκισε	405
635	exhaust	εξηαυστ	974
636	exhibit	εξηιμπιτ	513
637	exile	εξιλε	110
638	exist	εξιστ	575
639	exit	εξιτ	375
640	exotic	εξοτικ	465
641	expand	εξπανντ	546
642	expect	εξπεκτ	470
643	expire	εξπιρε	260
644	explain	εξπλαιν	236
645	expose	εξποσε	420
646	express	εξπρεσς	650
647	extend	εξτενντ	770
648	extra	εξτρα	466
649	eye	ευε	410
650	eyebrow	ευεμπρου	1100
651	fabric	φαμπρικ	751
652	face	φακε	526
653	faculty	φακυλτυ	1651
654	fade	φαντε	856
655	faint	φαιντ	861
656	faith	φαιτη	819
657	fall	φαλλ	561
658	false	φαλσε	736
659	fame	φαμε	546
660	family	φαμιλυ	981
661	famous	φαμους	1211
662	fan	φαν	551
663	fancy	φανκυ	971
664	fantasy	φαντασυ	1452
665	farm	φαρμ	641
666	fashion	φασηιον	839
667	fat	φατ	801
668	fatal	φαταλ	832
669	father	φατηερ	914
670	fatigue	φατιγκυε	1239
671	fault	φαυλτ	1231
672	favorite	φαβοριτε	988
673	feature	φεατυρε	1311
674	february	φεμπρυαρυ	1626
675	federal	φεντεραλ	991
676	fee	φεε	510
677	feed	φεεντ	860
678	feel	φεελ	540
679	female	φεμαλε	581
680	fence	φενκε	580
681	festival	φεστιβαλ	1048
682	fetch	φετκη	833
683	fever	φεβερ	612
684	few	φευ	905
